DATE,LV,LG,SV,SG
1/2/20,2050.79,2517.44,1955.12,2218.42
1/3/20,2035.21,2502.53,1948.33,2214.41
1/6/20,2037.49,2517.99,1946.46,2223.6
1/7/20,2029,2515.96,1939.8,2221.47
1/8/20,2034.1,2535.1,1942.71,2229.83
1/9/20,2042.17,2558.59,1943.86,2242.19
1/10/20,2035.03,2553.44,1936.73,2236.38
1/13/20,2043.36,2579.6,1953.64,2253.67
1/14/20,2046.24,2569.22,1958.49,2261.48
1/15/20,2048.57,2575.84,1962.43,2268.13
1/16/20,2062.33,2601.53,1984.87,2294.28
1/17/20,2066.03,2615.99,1981.29,2288.39
1/21/20,2056.58,2616.11,1965.76,2280.73
1/22/20,2058.23,2617.22,1963.56,2279.72
1/23/20,2057.21,2624.5,1967.79,2277.92
1/24/20,2038.19,2601.49,1944.35,2253.05
1/27/20,2009.99,2556.31,1918.47,2225.91
1/28/20,2023.09,2590.72,1933.51,2252.09
1/29/20,2014.69,2597.03,1926.58,2246.65
1/30/20,2023.49,2603.89,1927.73,2243.27
1/31/20,1987.15,2560.56,1889.92,2199.89
2/3/20,1993.8,2593.12,1906.59,2222.35
2/4/20,2016.76,2643.69,1926.54,2267.96
2/5/20,2052.16,2649.32,1960.66,2277.25
2/6/20,2052.21,2666.89,1950.76,2275.67
2/7/20,2040.39,2655.13,1930.03,2254.95
2/10/20,2046.25,2686.84,1937.15,2274.93
2/11/20,2054.09,2686.7,1952.73,2285.49
2/12/20,2062.28,2709.36,1964.1,2305.96
2/13/20,2055.61,2710.95,1965.98,2313.87
2/14/20,2053,2724.94,1961.14,2319.06
2/18/20,2041.83,2726.12,1954.05,2315.74
2/19/20,2047.59,2744.91,1956.53,2332.51
2/20/20,2045.63,2727.8,1963.7,2335.18
2/21/20,2037.08,2683,1946.33,2303.42
2/24/20,1974.68,2585.9,1890.3,2233.26
2/25/20,1912.33,2510.59,1824.04,2160.74
2/26/20,1895.84,2510.2,1792.27,2140.02
2/27/20,1816.2,2393.89,1724.86,2064.48
2/28/20,1787.22,2391.83,1693.96,2048.06
3/2/20,1864.97,2505.14,1748.13,2100.09
3/3/20,1814.75,2434.43,1708.12,2053.24
3/4/20,1892.99,2532.84,1762.5,2120.51
3/5/20,1829.48,2448.31,1690.55,2058.98
3/6/20,1800.19,2402.41,1658.25,2012.58
3/9/20,1656.95,2225.22,1499.87,1835.62
3/10/20,1727.27,2347.65,1556.04,1903.75
3/11/20,1639.73,2236,1452.35,1786.26
3/12/20,1476.03,2033.27,1289.33,1608.66
3/13/20,1612,2216.75,1395.57,1725.79
3/16/20,1430.48,1933.75,1201.61,1478.89
3/17/20,1520.15,2040.38,1256.69,1559.26
3/18/20,1430.82,1942.6,1119.81,1430.75
3/19/20,1424,1976.83,1175.29,1503.81
3/20/20,1358.6,1899.44,1119.31,1458.09
3/23/20,1298.48,1872.14,1078.94,1442.07
3/24/20,1424.11,2043.78,1189.58,1580.32
3/25/20,1452.77,2053.92,1232.75,1609.18
3/26/20,1550.17,2172.76,1309.97,1703.57
3/27/20,1502.53,2095.72,1262.6,1649.26
3/30/20,1550.1,2167.17,1281.8,1688.42
3/31/20,1520.63,2138.27,1267.11,1670.42
4/1/20,1454.42,2041.19,1186.57,1575.03
4/2/20,1493.06,2078.38,1195.72,1591.1
4/3/20,1469.06,2047.91,1157.59,1553.97
4/6/20,1559.79,2208.2,1253.95,1677.79
4/7/20,1563.08,2198.92,1270.17,1677.11
4/8/20,1624.42,2264.91,1333.71,1752.84
4/9/20,1658.77,2286.23,1393.75,1802.07
4/13/20,1628.07,2282.57,1347.23,1765.5
4/14/20,1664.51,2369.91,1368.02,1819.19
4/15/20,1617.59,2333.06,1304.29,1768.5
4/16/20,1616.6,2360.35,1290.35,1774.76
4/17/20,1674.14,2406.09,1351.26,1838.08
4/20/20,1640.63,2369.61,1319.33,1828.5
4/21/20,1595.55,2288.82,1287.34,1769.14
4/22/20,1620.2,2357.85,1297.82,1810.41
4/23/20,1621.7,2353.74,1311.49,1825.75
4/24/20,1641.89,2389.39,1329.12,1856.62
4/27/20,1676.05,2414.9,1387.11,1916.01
4/28/20,1682.06,2381.89,1415.22,1915.4
4/29/20,1715.23,2461.17,1479.72,1992.81
4/30/20,1680.36,2460.71,1429.13,1944.6
5/1/20,1631.23,2392.23,1374.44,1881.79
5/4/20,1627.79,2417.61,1371.54,1898.1
5/5/20,1636.81,2448.14,1374.96,1931.69
5/6/20,1610.76,2451.16,1350,1946.47
5/7/20,1622.72,2491.19,1374.28,1982.01
5/8/20,1659.65,2522.11,1429.15,2029.65
5/11/20,1648.59,2537.57,1401.81,2045.49
5/12/20,1614.9,2486.02,1347.87,1988.15
5/13/20,1579.06,2451.12,1294.37,1933.15
5/14/20,1603.27,2472.3,1310.57,1946
5/15/20,1601.71,2492.21,1318.93,1974.78
5/18/20,1664.51,2553.4,1412.59,2056.06
5/19/20,1636.12,2542.07,1386.49,2037
5/20/20,1660.99,2587.67,1424.21,2079.04
5/21/20,1650.08,2565.52,1429.85,2076.31
5/22/20,1649.69,2578.26,1431.9,2092.4
5/26/20,1690.36,2583.72,1493.08,2117.38
5/27/20,1729.84,2603.01,1545.66,2146.86
5/28/20,1719.81,2606.01,1509.93,2130.02
5/29/20,1721.64,2629.51,1493.82,2153.01
6/1/20,1724.85,2646.41,1514.67,2175.11
6/2/20,1741.86,2665.06,1530.03,2190.49
6/3/20,1775.83,2688.62,1586.22,2222.09
6/4/20,1783.74,2660.16,1602.54,2195
6/5/20,1835.42,2721.33,1663.27,2244.71
6/8/20,1867.97,2743.26,1709.41,2277.44
6/9/20,1833.02,2746.1,1664.43,2241.86
6/10/20,1798.36,2765.55,1603.59,2224.45
6/11/20,1680.48,2618.05,1479.27,2088.83
6/12/20,1706.11,2646.41,1516.87,2126.19
6/15/20,1718.84,2673.08,1537.71,2175.64
6/16/20,1751.13,2723.46,1573.47,2214.08
6/17/20,1732.99,2729.95,1544.35,2201.67
6/18/20,1733.19,2734.43,1540.5,2205.08
6/19/20,1719.79,2724.39,1523.97,2206.16
6/22/20,1717.74,2758.91,1527.43,2227.09
6/23/20,1719.57,2776.75,1530.15,2233.72
6/24/20,1670.79,2710.2,1473.25,2167.78
